BOD level (ppm),Water Quality
10.23,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.29,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.3,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.3,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.32,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.43,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.62,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.65,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.65,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.68,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.68,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.72,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.782,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.8,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.87,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.95,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.95,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.97,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.99,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
11,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
11,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
11.5,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
11.98,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
12,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
12.3,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
12.39,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
12.97,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
13,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
13.28,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
13.68,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
14,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
14.05,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
14.34,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
14.5,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
14.67,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
15,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
15.03,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
15.68,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
16.32,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
16.87,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
17.67,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
17.89,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
19.2,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
19.6,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
19.63,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
19.99,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
21.3,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
21.39,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
22.3,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
22.47,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
22.67,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
23.87,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
23.97,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
24.42,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
25.23,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
25.97,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
26.75,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
26.79,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
29.34,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
29.41,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
29.47,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
29.6,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
29.64,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
31.87,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
31.9,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
31.97,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
32.1,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
32.47,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
33.06,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
33.21,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
33.35,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
33.45,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
33.47,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
33.67,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
33.74,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
33.97,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
33.97,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
33.98,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
35.47,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
36.47,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
36.66,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
36.98,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
37.2,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
39.64,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
39.64,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
40.73,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
40.98,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
41,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
41.23,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
41.3,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
41.97,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
42,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
42.8,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
43.87,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
43.97,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
44.33,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
45,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
45.36,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
45.37,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
45.67,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
45.67,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
45.68,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
46.3,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
46.38,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
46.74,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
47,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
47.95,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
48.37,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
48.9,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
49.99,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
49.99,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
50,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
50,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
51,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
51,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
53,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
53.1,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
55,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
56,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
57,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
59,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
60,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
62,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
66,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
67,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
68,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
69,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
69,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
70,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
71,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
72,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
73,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
77,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
78,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
79,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
82,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
83,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
84,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
85,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
88,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
90,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
91,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
95,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
95,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
96,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
99,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
99,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
100,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
110,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
111,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
120,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
126,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
133,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
136,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
145,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
159,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
168,"Very Poor- Very Polluted, contains organic matter. Dysentry, Cholera, Typhoid or any bacterial disease can occur. "
30.2,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
106.7,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
